GAMEID,Date,manager_name,team,win_loss
CHA191504230,04/23/1915,"""Branch Rickey""",SLA,l
DET192804230,04/23/1928,"""Ray Schalk""",CHA,l
PIT193204230,04/23/1932,"""Gabby Street""",SLN,l
SLN193304232,04/23/1933,"""George Gibson""",PIT,w
PHI194604230,04/23/1946,"""Ben Chapman""",PHI,w
CHA194904230,04/23/1949,"""Jack Onslow""",CHA,w
PHI195804230,04/23/1958,"""Danny Murtaugh""",PIT,l
BOS196704230,04/23/1967,"""Dick Williams""",BOS,l
BAL196704231,04/23/1967,"""Alvin Dark""",KC1,l
BAL197404230,04/23/1974,"""Earl Weaver""",BAL,w
NYN197704230,04/23/1977,"""Joe Frazier""",NYN,l
BAL197804230,04/23/1978,"""Earl Weaver""",BAL,l
TEX198204230,04/23/1982,"""Don Zimmer""",TEX,l
TOR198404230,04/23/1984,"""Bobby Cox""",TOR,w
MIL198604230,04/23/1986,"""George Bamberger""",MIL,l
KCA198804230,04/23/1988,"""Frank Robinson""",BAL,l
MON199604230,04/23/1996,"""Felipe Alou""",MON,w
NYN199604230,04/23/1996,"""Dallas Green""",NYN,w
LAN199904230,04/23/1999,"""Davey Johnson""",LAN,l
TOR200504230,04/23/2005,"""John Gibbons""",TOR,l
PHI200604230,04/23/2006,"""Charlie Manuel""",PHI,w
COL200604230,04/23/2006,"""Clint Hurdle""",COL,l
ARI201004230,04/23/2010,"""A.J. Hinch""",ARI,w
SDN201304230,04/23/2013,"""Ron Roenicke""",MIL,w
COL201404230,04/23/2014,"""Bruce Bochy""",SFN,w
DET201504230,04/23/2015,"""Brad Ausmus""",DET,l
MIL201704230,04/23/2017,"""Mike Matheny""",SLN,w
ANA201704230,04/23/2017,"""John Gibbons""",TOR,w
SDN201704230,04/23/2017,"""Andy Green""",SDN,l
OAK202204230,04/23/2022,"""Mark Kotsay""",OAK,l
WS1191304240,04/24/1913,"""Clark Griffith""",WS1,l
BRO193104240,04/24/1931,"""Bill McKechnie""",BSN,l
WS1195004240,04/24/1950,"""Joe McCarthy""",BOS,l
NY1195204240,04/24/1952,"""Leo Durocher""",NY1,l
DET195404240,04/24/1954,"""Fred Hutchinson""",DET,w
OAK197104240,04/24/1971,"""Billy Martin""",DET,l
NYA197104240,04/24/1971,"""Ralph Houk""",NYA,l
HOU197604240,04/24/1976,"""Bill Virdon""",HOU,l
PHI197904240,04/24/1979,"""Tom Lasorda""",LAN,l
CHA198504240,04/24/1985,"""George Bamberger""",MIL,w
NYN199004240,04/24/1990,"""Russ Nixon""",ATL,l
DET199604240,04/24/1996,"""Buddy Bell""",DET,l
TEX199704240,04/24/1997,"""Buddy Bell""",DET,l
NYN200004240,04/24/2000,"""Davey Johnson""",LAN,l
ANA200004240,04/24/2000,"""Phil Garner""",DET,l
BAL200404240,04/24/2004,"""Carlos Tosca""",TOR,w
ATL200504240,04/24/2005,"""Charlie Manuel""",PHI,l
TBA200504240,04/24/2005,"""Lou Piniella""",BOS,l
SEA200804240,04/24/2008,"""John McLaren""",SEA,l
LAN200804240,04/24/2008,"""Joe Torre""",LAN,l
CHA201004240,04/24/2010,"""Ozzie Guillen""",CHA,w
CHN201204240,04/24/2012,"""Mike Matheny""",SLN,l
SDN201204240,04/24/2012,"""Buddy Black""",SDN,l
BAL201304240,04/24/2013,"""John Gibbons""",TOR,w
COL201504240,04/24/2015,"""Bruce Bochy""",SFN,l
ANA201704240,04/24/2017,"""John Gibbons""",TOR,l
TEX201704240,04/24/2017,"""Jeff Banister""",TEX,l
CHA201804240,04/24/2018,"""Rick Renteria""",CHA,l
CHN202104240,04/24/2021,"""David Ross""",CHN,l
BAL202304240,04/24/2023,"""Alex Cora""",BOS,l
NY1191004250,04/25/1910,"""John McGraw""",NY1,w
CIN191104250,04/25/1911,"""Clark Griffith""",CIN,l
BSN191604250,04/25/1916,"""John McGraw""",NY1,l
BSN192204250,04/25/1922,"""Fred Mitchell""",BSN,l
PHI193704250,04/25/1937,"""Burleigh Grimes""",BRO,w
CHA195404252,04/25/1954,"""Jimmy Dykes""",BAL,l
OAK197304250,04/25/1973,"""Ken Aspromonte""",CLE,w
